"","Year","Month","Day","Total_calls"
"1","2015","12","10",115
"2","2015","12","11",396
"3","2015","12","12",403
"4","2015","12","13",319
"5","2015","12","14",447
"6","2015","12","15",421
"7","2015","12","16",377
"8","2015","12","17",388
"9","2015","12","18",346
"10","2015","12","19",279
"11","2015","12","20",271
"12","2015","12","21",430
"13","2015","12","22",448
"14","2015","12","23",524
"15","2015","12","24",445
"16","2015","12","25",323
"17","2015","12","26",296
"18","2015","12","27",317
"19","2015","12","28",380
"20","2015","12","29",365
"21","2015","12","30",361
"22","2015","12","31",318
"23","2016","1","1",263
"24","2016","1","2",335
"25","2016","1","3",324
"26","2016","1","4",402
"27","2016","1","5",448
"28","2016","1","6",434
"29","2016","1","7",385
"30","2016","1","8",359
"31","2016","1","9",365
"32","2016","1","10",406
"33","2016","1","11",417
"34","2016","1","12",588
"35","2016","1","13",430
"36","2016","1","14",399
"37","2016","1","15",440
"38","2016","1","16",327
"39","2016","1","17",285
"40","2016","1","18",333
"41","2016","1","19",432
"42","2016","1","20",395
"43","2016","1","21",364
"44","2016","1","22",486
"45","2016","1","23",913
"46","2016","1","24",662
"47","2016","1","25",575
"48","2016","1","26",505
"49","2016","1","27",441
"50","2016","1","28",436
"51","2016","1","29",422
"52","2016","1","30",351
"53","2016","1","31",283
"54","2016","2","1",374
"55","2016","2","2",471
"56","2016","2","3",433
"57","2016","2","4",366
"58","2016","2","5",402
"59","2016","2","6",350
"60","2016","2","7",255
"61","2016","2","8",363
"62","2016","2","9",380
"63","2016","2","10",413
"64","2016","2","11",439
"65","2016","2","12",384
"66","2016","2","13",328
"67","2016","2","14",344
"68","2016","2","15",541
"69","2016","2","16",560
"70","2016","2","17",378
"71","2016","2","18",344
"72","2016","2","19",399
"73","2016","2","20",376
"74","2016","2","21",300
"75","2016","2","22",343
"76","2016","2","23",342
"77","2016","2","24",679
"78","2016","2","25",447
"79","2016","2","26",396
"80","2016","2","27",387
"81","2016","2","28",330
"82","2016","2","29",343
"83","2016","3","1",407
"84","2016","3","2",401
"85","2016","3","3",368
"86","2016","3","4",368
"87","2016","3","5",297
"88","2016","3","6",286
"89","2016","3","7",381
"90","2016","3","8",407
"91","2016","3","9",396
"92","2016","3","10",406
"93","2016","3","11",384
"94","2016","3","12",350
"95","2016","3","13",304
"96","2016","3","14",384
"97","2016","3","15",382
"98","2016","3","16",359
"99","2016","3","17",412
"100","2016","3","18",418
"101","2016","3","19",306
"102","2016","3","20",244
"103","2016","3","21",368
"104","2016","3","22",303
"105","2016","3","23",365
"106","2016","3","24",350
"107","2016","3","25",355
"108","2016","3","26",313
"109","2016","3","27",268
"110","2016","3","28",402
"111","2016","3","29",385
"112","2016","3","30",368
"113","2016","3","31",364
"114","2016","4","1",456
"115","2016","4","2",386
"116","2016","4","3",586
"117","2016","4","4",409
"118","2016","4","5",334
"119","2016","4","6",391
"120","2016","4","7",396
"121","2016","4","8",370
"122","2016","4","9",302
"123","2016","4","10",281
"124","2016","4","11",381
"125","2016","4","12",264
"126","2016","4","13",385
"127","2016","4","14",360
"128","2016","4","15",393
"129","2016","4","16",377
"130","2016","4","17",309
"131","2016","4","18",390
"132","2016","4","19",416
"133","2016","4","20",405
"134","2016","4","21",404
"135","2016","4","22",384
"136","2016","4","23",363
"137","2016","4","24",312
"138","2016","4","25",418
"139","2016","4","26",416
"140","2016","4","27",336
"141","2016","4","28",441
"142","2016","4","29",355
"143","2016","4","30",306
"144","2016","5","1",140
"145","2016","5","2",343
"146","2016","5","3",361
"147","2016","5","4",342
"148","2016","5","5",362
"149","2016","5","6",415
"150","2016","5","7",369
"151","2016","5","8",332
"152","2016","5","9",357
"153","2016","5","10",378
"154","2016","5","11",404
"155","2016","5","12",393
"156","2016","5","13",466
"157","2016","5","14",359
"158","2016","5","15",263
"159","2016","5","16",386
"160","2016","5","17",395
"161","2016","5","18",348
"162","2016","5","19",377
"163","2016","5","20",420
"164","2016","5","21",334
"165","2016","5","22",316
"166","2016","5","23",398
"167","2016","5","24",365
"168","2016","5","25",444
"169","2016","5","26",458
"170","2016","5","27",429
"171","2016","5","28",382
"172","2016","5","29",373
"173","2016","5","30",295
"174","2016","5","31",419
"175","2016","6","1",441
"176","2016","6","2",406
"177","2016","6","3",431
"178","2016","6","4",356
"179","2016","6","5",307
"180","2016","6","6",435
"181","2016","6","7",435
"182","2016","6","8",467
"183","2016","6","9",441
"184","2016","6","10",404
"185","2016","6","11",360
"186","2016","6","12",416
"187","2016","6","13",419
"188","2016","6","14",408
"189","2016","6","15",392
"190","2016","6","16",391
"191","2016","6","17",427
"192","2016","6","18",341
"193","2016","6","19",324
"194","2016","6","20",356
"195","2016","6","21",418
"196","2016","6","22",372
"197","2016","6","23",419
"198","2016","6","24",387
"199","2016","6","25",331
"200","2016","6","26",286
"201","2016","6","27",407
"202","2016","6","28",415
"203","2016","6","29",386
"204","2016","6","30",408
"205","2016","7","1",411
"206","2016","7","2",298
"207","2016","7","3",309
"208","2016","7","4",290
"209","2016","7","5",392
"210","2016","7","6",409
"211","2016","7","7",373
"212","2016","7","8",444
"213","2016","7","9",279
"214","2016","7","10",323
"215","2016","7","11",417
"216","2016","7","12",389
"217","2016","7","13",481
"218","2016","7","14",435
"219","2016","7","15",393
"220","2016","7","16",343
"221","2016","7","17",330
"222","2016","7","18",405
"223","2016","7","19",443
"224","2016","7","20",406
"225","2016","7","21",395
"226","2016","7","22",366
"227","2016","7","23",422
"228","2016","7","24",329
"229","2016","7","25",580
"230","2016","7","26",446
"231","2016","7","27",421
"232","2016","7","28",443
"233","2016","7","29",431
"234","2016","7","30",353
"235","2016","7","31",381
"236","2016","8","1",384
"237","2016","8","2",404
"238","2016","8","3",403
"239","2016","8","4",422
"240","2016","8","5",422
"241","2016","8","6",378
"242","2016","8","7",332
"243","2016","8","8",378
"244","2016","8","9",350
"245","2016","8","10",345
"246","2016","8","11",449
"247","2016","8","12",441
"248","2016","8","13",393
"249","2016","8","14",332
"250","2016","8","15",360
"251","2016","8","16",419
"252","2016","8","17",415
"253","2016","8","18",359
"254","2016","8","19",447
"255","2016","8","20",328
"256","2016","8","21",357
"257","2016","8","22",389
"258","2016","8","23",439
"259","2016","8","24",132
